ID	p.Age	q.Age	Coefficient.Age	p.Sex	q.Sex	Coefficient.Sex	p.Cohort	q.Cohort	Coefficient.Cohort.Interval2	Coefficient.Cohort.Longenity.OPEL	Coefficient.Cohort.Longenity.OPUS
PROC.3758.68.3	2,71E-06	1,28E-05	0,000750176	0,045964402	0,076346323	-0,008284456	0,000223477	0,000694655	-0,013839744	-0,027718629	0,00104817
PSME3.5204.13.3	2,80E-06	1,32E-05	0,000661397	0,0302256	0,053051874	-0,007943355	2,03E-14	5,76E-13	-0,03419285	-0,020658712	0,009526615
PLCG1.4563.61.2	2,85E-06	1,34E-05	-0,000572654	0,005634682	0,012030251	0,008794535	0,800026846	0,828053265	0,004023472	0,000164895	-0,00040696
PYY.3727.35.1	3,14E-06	1,48E-05	0,000734778	0,004377841	0,009657003	0,011665685	2,99E-07	2,09E-06	0,021915288	0,028063101	0,037603819
CDH15.5410.53.3	3,16E-06	1,48E-05	-0,000489864	0,911825528	0,931246393	-0,000302162	0,068175454	0,097703675	0,004398716	0,012305431	0,011957172
VTN.13125.45.3	3,19E-06	1,49E-05	-0,001012334	0,060209609	0,096079164	-0,010602654	2,99E-08	2,64E-07	0,016396551	0,04948601	-0,01658271
PTHLH.2962.50.2	3,31E-06	1,55E-05	0,000717961	0,00948807	0,019286036	-0,010398527	1,69E-08	1,58E-07	0,011608401	0,021585639	0,049779817
PABPC4.12603.87.3	3,37E-06	1,58E-05	0,00060006	0,233363121	0,307333241	0,00399509	0,375245027	0,430428119	-0,006707379	-0,002690412	0,002879286
TXNIP.11682.7.3	3,44E-06	1,60E-05	-0,000773451	9,43E-05	0,000296871	-0,016900979	0,001335212	0,003295776	0,013541494	0,005462016	0,028571575
LSAMP.2999.6.2	3,93E-06	1,83E-05	-0,000368327	3,41E-163	6,65E-161	-0,058945531	1,11E-22	1,19E-20	-0,002616348	-0,00492683	0,035091744
ANGPT4.2500.2.3	4,22E-06	1,96E-05	0,000624094	0,758463601	0,8087882	-0,00108286	0,886880278	0,903246801	-0,001141939	-0,000593641	0,004326107
CCL28.2890.59.2	4,30E-06	2,00E-05	0,000905005	3,81E-31	7,90E-30	-0,059797246	5,03E-05	0,000192496	-0,029209078	-0,006504202	0,009266681
GSTO1.12436.84.3	4,39E-06	2,04E-05	0,000654741	1,85E-25	3,00E-24	0,038845386	0,181506239	0,22736863	-0,000195763	-0,00196423	-0,015348858
VIT.6234.74.3	4,41E-06	2,04E-05	0,000546106	8,40E-180	1,89E-177	0,092696794	2,95E-20	2,06E-18	0,007953154	0,05040551	0,053891276
THPO.5947.90.3	4,49E-06	2,07E-05	0,000753605	0,001059771	0,002707276	-0,013970658	0,137516991	0,178375698	0,007364947	0,001600622	0,016500437
GGA1.13594.158.3	4,52E-06	2,08E-05	0,000996995	0,013713463	0,026705644	0,013913897	0,278523271	0,331980672	-0,013508504	-0,011210218	-0,006515306
NXT1.9942.2.3	4,53E-06	2,09E-05	0,000869539	0,001297895	0,003258664	0,015842896	0,017569995	0,030212955	0,01157044	0,009205157	0,028132676
PCDHB10.9963.19.3	4,56E-06	2,10E-05	0,000607706	0,055272789	0,089272727	0,006597158	0,000740477	0,001967206	0,010430306	-0,005603688	-0,020385868
GLRX2.12486.8.3	4,90E-06	2,25E-05	0,000625816	0,815735946	0,855820531	-0,000828527	0,11802351	0,156632835	0,008970432	0,009241077	0,012348975
GALNT2.5764.4.3	4,95E-06	2,27E-05	-0,000622745	0,120822541	0,176262311	-0,005492211	5,54E-05	0,000208677	0,018442424	0,000755961	0,018463822
EIF1AD.13545.97.3	5,10E-06	2,34E-05	0,001194818	0,75298183	0,803821844	0,002140371	0,092130633	0,127114199	-0,018459737	0,003492284	0,014685725
MAPK3.2855.49.2	5,26E-06	2,40E-05	0,001238692	0,000725065	0,001919289	0,023879695	0,966794237	0,971777712	-0,004052263	-0,002987567	0,000869076
FAIM3.6574.11.3	5,34E-06	2,43E-05	-0,000809391	0,118015594	0,173204021	-0,00721755	2,35E-07	1,69E-06	-0,004041652	0,039347111	0,048003072
ARRDC3.12352.70.3	5,46E-06	2,49E-05	0,001121285	0,820510054	0,860212153	-0,001452702	1,15E-06	6,93E-06	-0,022556747	-0,045835097	0,017718008
TNFRSF19.5131.15.3	5,47E-06	2,49E-05	0,000588842	5,32E-08	2,64E-07	0,018324647	4,16E-20	2,70E-18	-0,016058571	0,015713252	0,055531185
TWF1.12871.10.3	5,53E-06	2,51E-05	0,000850978	0,46495813	0,545747404	0,003552765	0,664521906	0,703993689	0,006848822	0,007947507	0,0039465
CAST.3026.5.2	5,82E-06	2,64E-05	0,00074638	8,64E-48	3,33E-46	-0,062858247	0,481198179	0,532943837	-0,000164255	-0,009806984	-0,012635912
FAM20B.7198.197.3	5,87E-06	2,66E-05	0,000405278	0,137748586	0,196762135	-0,00344663	0,001417947	0,003464908	0,000393395	-0,002822479	0,014851434
QSOX1.6070.11.3	5,89E-06	2,66E-05	-0,000514409	0,001536239	0,003779226	-0,009342597	0,603386041	0,646248323	0,002476946	-0,00630933	-0,003440302
PPBP.2790.54.2	6,14E-06	2,77E-05	0,001519325	4,09E-10	2,59E-09	-0,054646531	0,000494544	0,001381144	-0,036928549	-0,041493411	-0,054702818
CXCL1.2985.35.1	6,19E-06	2,79E-05	0,000876322	1,41E-07	6,74E-07	-0,026535975	0,503740145	0,553924783	-0,00174005	-0,014244297	-0,001083062
JUN.10356.21.3	6,44E-06	2,90E-05	-0,00066854	0,850045782	0,882635396	-0,00072732	0,00035031	0,001021593	0,001077859	-0,003089713	0,028018279
SOD2.5008.51.1	6,81E-06	3,06E-05	-0,000527865	1,55E-35	3,75E-34	-0,038239048	6,15E-06	3,05E-05	-0,008266845	-0,028645094	-0,003744634
RFNG.7203.125.3	6,94E-06	3,11E-05	0,000395208	0,033300509	0,057363952	-0,00485871	1,49E-05	6,68E-05	0,004612945	-0,008913949	0,013760932
ERAP2.8960.3.3	7,03E-06	3,15E-05	-0,000829894	0,389917248	0,471994992	0,004123078	0,002828999	0,006264059	0,01024393	0,024215614	-0,009030116
CGA.14056.4.3	7,06E-06	3,16E-05	0,00084951	7,38E-16	7,52E-15	-0,039743302	4,14E-06	2,14E-05	-0,016925821	-0,038463253	0,006010106
KITLG.9377.25.3	7,11E-06	3,18E-05	0,000631672	0,084635526	0,130362778	0,006298337	0,025989873	0,042780179	-0,012001989	-0,015319673	-0,006467125
TSTA3.12657.2.3	7,28E-06	3,25E-05	-0,001031706	0,4834645	0,563624417	0,004184493	4,31E-08	3,69E-07	0,037334278	0,002784198	0,046200704
MT1F.10416.79.3	7,39E-06	3,29E-05	-0,000724463	0,198159449	0,267227472	-0,00539987	5,98E-06	2,97E-05	0,002866705	-0,020209585	0,025078874
GRID2.12758.47.3	7,49E-06	3,33E-05	0,000725067	1,88E-34	4,30E-33	-0,051894131	0,020617214	0,034858585	-0,011067196	-0,01499817	0,005815757
ESM1.3805.16.2	7,90E-06	3,51E-05	-0,000449282	0,208535972	0,279673415	-0,003283368	2,02E-15	6,86E-14	-0,010556743	0,010225337	0,037897204
NPC2.6259.60.3	8,17E-06	3,62E-05	0,000525469	1,81E-05	6,52E-05	0,01312366	2,41E-16	9,26E-15	-0,007288735	0,024934548	0,050095232
TEK.3773.15.4	8,27E-06	3,66E-05	-0,000425658	3,23E-05	0,000110658	0,010313096	0,000381396	0,001103446	-0,002510868	-0,012821318	0,008914695
DEFB1.6629.3.3	8,30E-06	3,67E-05	-0,00056855	0,295412354	0,374777264	0,003464937	8,70E-10	1,08E-08	0,020187592	-0,025246589	-0,016651565
TRAT1.7224.11.3	8,66E-06	3,82E-05	0,000700701	7,07E-05	0,000228333	-0,016265419	0,064173011	0,093044448	-0,006180635	-0,013664725	0,00699009
DPEP2.8327.26.3	8,85E-06	3,90E-05	-0,000547238	1,28E-08	6,90E-08	-0,018222193	0,000663079	0,001794178	-0,00824254	-0,001437852	0,018831798
ST8SIA4.7038.45.3	8,90E-06	3,91E-05	0,000845902	0,003362638	0,007606897	0,014503403	0,036360852	0,056905026	0,017231213	0,011006232	-0,000961631
ANP32B.4194.26.3	9,35E-06	4,10E-05	0,000520999	7,75E-10	4,77E-09	-0,018810796	4,23E-05	0,000165872	-0,000462004	0,00363365	0,027367251
GCNT2.7143.9.3	9,35E-06	4,10E-05	0,000607974	1,22E-08	6,62E-08	-0,02032733	3,31E-05	0,000134106	-0,016463744	-0,021663134	0,0018658
IL6.4673.13.2	9,43E-06	4,13E-05	0,000715573	0,042831556	0,072001323	-0,008495278	0,01031467	0,019119398	-0,015302165	-0,018269779	-0,005014744
DEFB119.8315.5.3	9,53E-06	4,17E-05	0,000577867	2,44E-05	8,55E-05	-0,014312885	0,012684208	0,022817532	-0,011014305	-0,01730415	-0,011051271
FAM3B.9177.6.3	9,84E-06	4,30E-05	0,000568272	0,000749609	0,001977102	0,01125676	1,27E-05	5,81E-05	-0,000609223	0,005748689	0,031998997
KCNG4.13525.17.3	9,89E-06	4,31E-05	-0,000588691	0,000237065	0,000694804	-0,012721468	0,14352451	0,185346221	-0,001917859	0,006145842	0,015270678
EDN2.12574.36.3	1,01E-05	4,39E-05	0,000792649	0,119904137	0,175320857	-0,007248752	0,012906497	0,023117884	0,003633306	0,019699983	0,030385916
TIRAP.9839.148.3	1,01E-05	4,39E-05	0,001121351	0,005375955	0,011545279	0,018363109	0,616876592	0,657887125	-0,005933731	0,007951795	0,013143757
VAPA.7167.102.3	1,04E-05	4,53E-05	0,001112191	1,66E-05	6,04E-05	-0,028234997	0,907595575	0,920807405	-0,000994677	0,005895856	-0,004019909
NTF3.4145.58.2	1,07E-05	4,63E-05	-0,000531244	0,183572005	0,250676057	0,004165912	0,15420537	0,197655875	0,001168422	-0,007846328	0,007002874
SERAC1.8985.13.3	1,09E-05	4,71E-05	-0,000656541	0,117909238	0,173204021	-0,006059506	0,033766286	0,053590008	0,012488168	0,014406801	0,003474093
DEFB123.9362.11.3	1,13E-05	4,88E-05	0,001049053	2,68E-05	9,37E-05	-0,026069984	0,03405934	0,053937448	0,021716221	-0,008429092	0,003070634
CHST15.4469.78.2	1,16E-05	5,00E-05	0,000383294	0,038043586	0,064771531	0,004708363	0,001758026	0,004143614	-0,008110748	-0,001239696	0,009314268
HSD17B10.4217.49.3	1,25E-05	5,39E-05	0,000819139	0,184445211	0,25145762	-0,006461741	0,581942186	0,627647823	-0,001397418	-0,007734368	0,006292088
OBP2A.6526.77.3	1,30E-05	5,58E-05	0,000759805	0,08823094	0,134976726	-0,007713142	0,004485825	0,009207745	0,003181678	-0,020208352	0,013154228
SEMA3A.3222.11.2	1,30E-05	5,59E-05	-0,000613577	0,076998819	0,119990169	0,006462377	1,19E-05	5,46E-05	0,023188675	0,002387685	0,012532219
PTP4A2.11699.16.3	1,38E-05	5,93E-05	0,000690457	0,000694592	0,001845306	-0,013997165	0,007430811	0,014346615	-0,016802819	-0,0166358	-0,009695866
RPS4X.9758.17.3	1,39E-05	5,95E-05	0,001250396	0,002887314	0,006649917	0,022268755	0,908215167	0,920807405	0,002744676	-0,00552953	-0,009279619
CFP.2960.66.2	1,47E-05	6,30E-05	-0,000387951	8,93E-13	7,23E-12	0,016661576	0,032816331	0,052348943	-0,008810236	-0,001722617	-1,22E-08
SNX8.6925.26.3	1,48E-05	6,31E-05	0,000951171	0,007940619	0,016345045	0,015138954	0,89898494	0,913348714	-0,005424395	-0,002533463	0,000200235
GPNMB.8606.39.3	1,49E-05	6,33E-05	0,000664515	8,37E-17	9,01E-16	0,033301973	1,75E-06	9,96E-06	-0,019357703	0,013351952	0,025887924
FLT3.3437.80.3	1,53E-05	6,49E-05	-0,000662581	3,73E-07	1,70E-06	-0,020245774	0,000555138	0,001533312	0,004635497	-5,19E-05	0,029580904
LCK.4560.34.2	1,53E-05	6,49E-05	0,000950329	0,002602057	0,006059727	0,017188122	0,350870789	0,406615316	0,003857138	-0,001868473	-0,017693112
COL28A1.10702.1.3	1,57E-05	6,65E-05	0,000441197	0,040253635	0,068019575	0,005441046	8,62E-34	3,15E-31	0,007613195	0,050438769	0,063722658
SFRP2.7751.121.3	1,58E-05	6,68E-05	-0,000653273	0,000140027	0,000424875	-0,014971164	0,072214645	0,103037969	0,004974773	0,000877322	0,018300434
BAGE2.6294.11.3	1,58E-05	6,70E-05	0,001071449	4,76E-21	6,36E-20	0,060983394	0,399612357	0,454104951	-0,001462812	0,013213161	0,021139164
GRB2.5464.52.3	1,64E-05	6,94E-05	0,001494822	0,000644994	0,001734014	-0,030752877	0,304092498	0,358815392	-0,018326972	-0,017124687	0,003187632
PPIH.12449.16.3	1,65E-05	6,98E-05	0,001133149	0,001847273	0,004447139	0,021279456	0,437148966	0,491603508	-0,007848436	-0,010749547	-0,021052508
PRKAR1B.12479.50.3	1,68E-05	7,06E-05	0,000989924	1,27E-09	7,57E-09	0,036332738	0,144729944	0,186820426	-0,001754802	0,025706414	0,019069368
PCDH10.9018.38.3	1,70E-05	7,17E-05	0,000621422	0,143579759	0,204166648	-0,005487621	8,35E-20	5,09E-18	-0,016619495	-0,002457328	0,056631016
F2.5316.54.3	1,75E-05	7,35E-05	-0,000322838	8,55E-07	3,77E-06	-0,009619872	0,034474589	0,054389521	0,003392773	-0,006502699	-0,00870054
ELK3.5707.55.3	1,80E-05	7,55E-05	0,000885512	0,004783046	0,010400556	0,015131801	0,79435372	0,823346787	-0,00652002	-0,005903523	-0,004055891
LRRC37A2.8897.3.3	1,88E-05	7,86E-05	-0,000738629	0,377673217	0,45971459	-0,003953583	0,631156359	0,67156506	0,005348751	-0,002820902	0,005976583
C8A.C8B.C8G.2429.27.4	1,90E-05	7,96E-05	-0,000751907	2,09E-05	7,43E-05	-0,019443583	0,001837417	0,004320294	0,00393748	0,00562001	0,033834346
CD63.9190.7.3	1,92E-05	8,01E-05	-0,000681977	1,16E-07	5,54E-07	-0,021993348	0,007816507	0,015021869	0,017606452	-0,000490128	-0,004344078
SPSB1.13942.140.3	1,94E-05	8,11E-05	-0,00049301	0,25510316	0,330605558	-0,003410725	0,064657543	0,093579076	0,004212761	0,00313829	0,015050126
CRHBP.6039.24.3	1,95E-05	8,14E-05	-0,000416821	0,008565669	0,017520686	0,006665175	1,03E-06	6,30E-06	0,0064278	0,013650397	0,027926219
CDH12.10701.30.3	2,04E-05	8,48E-05	-0,000655798	0,63135047	0,70006309	0,00191753	0,005332869	0,01065481	0,010067367	-0,012318062	0,012465941
GRN.4992.49.1	2,05E-05	8,50E-05	0,000383544	7,49E-25	1,18E-23	-0,024214394	5,15E-05	0,000196212	0,000320498	-0,006628866	0,015864393
EVI2B.13028.2.3	2,18E-05	9,05E-05	-0,000919433	0,035925258	0,061523057	-0,011798532	5,51E-10	7,17E-09	-0,000274415	0,044867219	0,075264138
PAPPA.4148.49.2	2,24E-05	9,29E-05	0,000809345	3,14E-11	2,26E-10	0,032996267	2,03E-07	1,48E-06	0,001208162	0,034860769	0,057154934
VPS29.14318.1.3	2,32E-05	9,60E-05	0,000752638	0,646009238	0,71277896	-0,002121039	0,001515441	0,003675511	-0,010938843	0,008431801	-0,02450321
HSPA6.13672.3.3	2,36E-05	9,74E-05	-0,0004463	0,014637749	0,028317073	0,006692782	0,014004663	0,024821877	0,003310777	0,001977371	0,016579245
MINPP1.5586.66.3	2,38E-05	9,82E-05	-0,000331046	1,66E-63	9,33E-62	0,034793814	0,206189442	0,253724913	-0,000433455	0,007438922	0,007059658
LILRB1.5090.49.2	2,47E-05	0,0001018	0,000774152	6,54E-08	3,21E-07	-0,025796492	0,087498015	0,121814228	-0,009522812	-0,020089118	-0,002933617
SMAD2.10364.6.3	2,53E-05	0,00010397	0,000924477	0,001194883	0,003017705	0,018473951	0,57343262	0,619841247	-0,00886629	-0,010885366	-0,005848064
CGA.TSHB.3521.16.2	2,59E-05	0,000106295	0,000721523	0,651407871	0,717112541	-0,00201185	0,058719149	0,086238788	0,013651096	-0,002359048	0,010467559
GGA3.11683.19.3	2,62E-05	0,000107421	0,001188716	0,406879	0,488956892	0,006088715	0,165019014	0,210043784	-0,020701999	-0,014644926	-0,0106418
QPCT.7849.3.3	2,63E-05	0,000107647	-0,000846461	6,89E-27	1,18E-25	-0,056513289	0,000308669	0,000913824	-0,007176103	-0,004626253	0,035884602
GPX7.8345.27.3	2,69E-05	0,000110231	0,000916242	9,15E-06	3,46E-05	-0,025169836	2,59E-05	0,000108263	0,022183589	0,012756471	0,047471232
ABHD14A.5715.4.3	2,74E-05	0,000111815	0,000995907	2,43E-18	2,92E-17	0,054094584	0,578371755	0,624487776	0,001911308	0,014739617	0,015266524
SNRPA.12678.66.3	2,80E-05	0,000113976	0,001576817	1,11E-09	6,73E-09	0,059665513	0,765897485	0,79780988	-0,009252095	0,012553714	0,001639536
COX4I2.7850.1.3	2,80E-05	0,000113976	-0,000652564	0,001537677	0,003779585	-0,012817669	9,77E-05	0,000338593	0,011382366	-0,005821782	0,027189761
IL2RB.9343.16.3	2,82E-05	0,000114724	-0,000698299	0,000162546	0,000486639	-0,016341016	3,74E-05	0,000149067	0,001799957	0,008349335	0,040401086
RGS19.12713.365.3	2,84E-05	0,000115397	-0,000467274	2,17E-09	1,26E-08	-0,017381948	0,000252265	0,000771029	0,008749659	-0,013184441	0,008592801
CYP3A4.2943.5.2	2,90E-05	0,000117525	0,00059902	9,25E-07	4,06E-06	0,018277061	0,572396037	0,618949504	0,006651298	-0,000542121	-4,03E-05
CEL.9796.4.3	2,96E-05	0,000120011	0,000989825	0,969002914	0,976010166	0,000239124	3,74E-07	2,56E-06	-0,039881708	-0,020916159	-0,044810228
ADGRF5.6409.57.3	3,00E-05	0,000121452	0,000668478	6,82E-08	3,34E-07	0,022478804	0,027552162	0,045022388	-0,007707137	-0,023244366	-0,005955319
EPHA10.6036.78.3	3,02E-05	0,000122192	0,000747454	3,36E-09	1,91E-08	0,027565496	0,000536321	0,001486957	-0,000915924	0,02110922	0,038436633
C9.3060.43.2	3,09E-05	0,0001245	0,000664401	2,81E-15	2,75E-14	-0,032821018	0,002739878	0,006089775	0,005513441	0,021420113	0,030332525
RRM2B.8925.25.3	3,12E-05	0,000125613	0,000809244	0,004650231	0,010128015	0,014285937	0,003610284	0,007723995	-0,019323634	0,003313948	0,017031284
HP.3054.3.2	3,15E-05	0,000126715	0,002004859	8,73E-31	1,76E-29	-0,145398116	0,024115064	0,039949897	-0,00159651	-0,020338087	0,056533324
BPI.4126.22.1	3,18E-05	0,000127826	-0,001111127	0,00079758	0,002084828	-0,023272265	0,035621921	0,056078643	0,026294647	0,010133545	0,010395915
MAP2K1.2864.2.3	3,25E-05	0,000130356	0,000684362	0,157242158	0,220274575	0,006049028	0,405740219	0,460710459	-0,002018703	-0,00296312	-0,01412866
CLEC4M.3030.3.2	3,27E-05	0,000131215	-0,000389435	0,000333287	0,000952017	-0,008741252	0,033332171	0,052958502	-0,001816673	0,007326087	0,013485369
PTPRR.6361.49.3	3,29E-05	0,000131739	-0,00064802	0,015612916	0,02998541	-0,009800718	3,74E-12	7,30E-11	0,008496718	-0,021429132	0,040132271
PLXNA1.9005.16.3	3,31E-05	0,000132207	0,000616309	0,120961988	0,176377774	-0,005978763	0,002192481	0,005049613	-0,003322276	0,006472883	0,027422687
OAF.6414.8.3	3,32E-05	0,000132577	0,000435888	6,30E-30	1,24E-28	-0,031227032	2,05E-10	2,96E-09	0,020526134	0,00670561	0,02468982
AZGP1.9312.8.3	3,37E-05	0,00013447	-0,0004964	0,216319204	0,288787618	0,003843306	5,20E-05	0,000197909	0,008949126	0,010926524	0,028174994
EMID1.13021.12.3	3,45E-05	0,000137351	-0,000546578	0,000151361	0,000455523	-0,012994201	0,001411313	0,003457363	0,015699205	0,011815502	0,016045377
S100A12.5852.6.3	3,49E-05	0,000138856	0,001592367	0,006391881	0,013421573	0,027254313	0,91764882	0,929083696	-0,007892423	-0,004736809	-0,009426011
ATG7.12627.97.3	3,52E-05	0,000139597	0,001419468	2,45E-22	3,42E-21	0,087085777	1,79E-06	1,02E-05	0,060204307	0,032057511	0,002320311
SKIL.14670.1.3	3,56E-05	0,000141117	0,000387872	0,016692999	0,031850634	-0,005832141	0,613836463	0,655417946	0,002964051	0,000327467	-0,003578887
SIRT2.5030.52.1	3,58E-05	0,000141518	-0,000724023	0,000689629	0,001833787	-0,015445251	0,053545888	0,079822055	0,015682584	-1,24E-06	-0,003013725
CNTFR.14101.2.3	3,70E-05	0,000146142	-0,000384274	1,34E-10	8,86E-10	0,015570621	1,94E-13	4,84E-12	-0,002413494	0,016910954	0,037374759
DEFB112.5689.1.3	3,75E-05	0,000147844	-0,001535224	0,130544695	0,187973804	-0,014620917	0,000261071	0,000792151	0,048470135	-0,011502875	0,030057965
CRKL.9877.28.3	3,82E-05	0,000150397	0,000869698	0,206937956	0,27799305	-0,00692043	0,974771307	0,97744466	0,001516729	-0,004133096	-0,001689734
L1CAM.4246.40.2	3,88E-05	0,00015237	0,000487856	0,054083655	0,087739706	0,005930809	3,62E-06	1,91E-05	-0,021209233	-0,006186839	-0,004911212
AKT2.5360.9.2	3,88E-05	0,00015237	0,000974517	0,161793273	0,225677311	-0,008604293	0,049940379	0,075064547	-0,018264371	-0,020199489	-0,000613408
ENO2.10339.48.3	4,20E-05	0,000165062	0,00097072	0,002218125	0,005236492	-0,018836221	0,553746201	0,601898044	-0,007359726	0,001356412	0,011396227
CD2.7100.31.3	4,31E-05	0,000169064	-0,002166086	2,16E-103	2,52E-101	-0,305220705	1,01E-14	2,95E-13	-0,04527417	-0,031606027	0,171548223
EFNB3.7785.1.3	4,41E-05	0,000172756	-0,00093052	0,059161911	0,094717346	0,01116366	0,009290634	0,017509732	-0,015586404	0,020021683	-0,012109501
KIR3DL2.5096.51.3	4,43E-05	0,000173259	0,000691581	0,052338193	0,085524702	0,008533812	8,75E-10	1,08E-08	-0,035110729	0,014781692	0,004170435
CLK2.11327.56.3	4,45E-05	0,000173641	-0,00089187	0,000863978	0,002238385	-0,018907336	0,005098267	0,01027027	0,016161571	-0,000624364	0,030299191
GALNT3.6593.5.3	4,53E-05	0,000176651	0,000504922	0,006365118	0,013374978	-0,008773791	0,137011315	0,177877539	0,006043537	-0,002407814	0,009777634
GPI.4272.46.2	4,63E-05	0,000180257	0,001064228	0,005116594	0,011061372	0,018999328	0,58385806	0,62925012	-0,004134889	-0,011193004	-0,018712759
PGK1.5020.50.1	4,65E-05	0,000180964	0,000665433	0,001616298	0,003952903	-0,013384833	0,056218807	0,083218629	0,012307983	-0,009971551	-0,005514606
POGLUT1.6467.65.3	4,69E-05	0,000182131	0,001181834	2,34E-05	8,19E-05	-0,031922816	0,000471181	0,001326471	-0,035820772	-0,038679961	-0,010824162
EDA.2826.53.2	4,70E-05	0,000182246	-0,000541527	0,555973973	0,630266009	0,002034232	2,36E-08	2,14E-07	-0,011849928	-0,004791434	0,030613928
PIN4.12718.43.3	4,72E-05	0,000182985	0,001129147	0,20011776	0,269743986	-0,009232692	0,001671104	0,003983683	-0,036046339	-0,014243178	-0,018767357
CRYBB2.10000.28.3	4,79E-05	0,000185486	-0,00108268	0,112574882	0,166471957	0,010973683	0,047374732	0,071649995	-0,017800339	0,016769164	0,020531619
DBNL.4978.54.2	4,80E-05	0,000185486	0,000611524	0,002015305	0,00479873	-0,01206835	0,166930433	0,212015422	-0,006201838	-0,005291541	-0,016034974
TBXAS1.8098.37.3	4,89E-05	0,000188779	0,000738746	1,92E-12	1,52E-11	0,033354135	0,012857105	0,023057654	0,015300401	0,005290731	0,022633844
WFDC13.9345.436.3	4,91E-05	0,000189202	0,000837204	5,51E-05	0,000181478	-0,021614387	0,023432671	0,039099009	-0,016487939	-0,023382381	-0,021120524
CSK.3363.31.4	5,01E-05	0,000192777	0,001408688	0,473984344	0,554561682	-0,006458474	0,323255122	0,378662888	-0,017771443	-0,019585208	-4,03E-05
MCEMP1.6283.60.3	5,06E-05	0,000194607	-0,000592725	1,54E-08	8,15E-08	-0,021521528	0,004005329	0,008392256	0,0140236	0,00724413	0,020510413
NUDT16L1.12497.29.3	5,11E-05	0,000196011	-0,000668758	1,84E-185	4,48E-183	-0,130936714	5,43E-07	3,62E-06	0,016487289	-0,030271286	0,008732038
LRIG3.3322.52.2	5,19E-05	0,000199001	-0,000420108	1,47E-11	1,09E-10	0,018246738	0,441793236	0,496063423	0,004827676	-0,003288204	0,000513772
MYZAP.9055.81.3	5,28E-05	0,000201973	0,000509478	0,099607815	0,15025934	-0,005389028	0,011084237	0,020314157	0,01198907	-0,008397313	-0,003376278
LONP1.6398.12.3	5,39E-05	0,000206035	0,000859399	0,233101221	0,307126608	0,006589894	0,835231462	0,85871776	0,000183623	-0,00988996	-0,002331351
CREBBP.13614.6.3	5,40E-05	0,000206291	0,000440292	1,91E-06	7,94E-06	-0,013503043	0,000718162	0,001920131	0,01429744	-0,003768238	-0,001467069
GCNT1.7016.12.3	5,46E-05	0,000208141	0,000611116	0,168295239	0,23310988	-0,005418425	0,008901221	0,016840926	0,014592532	-0,003165255	0,012119722
EWSR1.12988.49.3	5,61E-05	0,000213515	0,001224237	0,001621189	0,003961551	0,024885097	0,169559966	0,214795539	-0,014325234	0,00363973	0,023299648
PAK4.13719.19.3	6,49E-05	0,000247037	0,00092769	0,389731728	0,471994992	0,005187576	0,530213019	0,580633875	-0,009856639	0,006652904	-0,000487353
VPS24.12508.9.3	6,51E-05	0,000247341	0,000731835	0,195873682	0,264535748	0,006155243	0,285191868	0,338137906	-0,004109343	0,002513505	0,015692211
ARHGAP25.11333.82.3	6,53E-05	0,00024771	0,001497513	0,174235723	0,239717539	0,013233552	0,415095052	0,469873462	-0,014784642	-0,0021662	-0,024221782
SLC4A8.12798.46.3	6,54E-05	0,000247837	-0,000639766	0,0980849	0,148114781	-0,00688446	0,175530777	0,22113471	-0,001847483	-0,017907169	-0,003481878
ACPL2.6079.59.3	6,55E-05	0,000247837	-0,000391224	1,21E-09	7,25E-09	-0,015503548	0,003847604	0,008143445	-0,002603336	-0,01294369	0,005726964
PSMB5.12580.7.3	6,71E-05	0,000253671	-0,000498793	0,013728225	0,026716606	0,008009646	2,59E-06	1,42E-05	0,014951174	0,017746148	0,030022083
SUN5.11260.47.3	6,87E-05	0,000259398	0,000755975	0,022123266	0,040808908	-0,01128759	0,097194835	0,132662106	0,006884468	-0,019532716	-0,00190845
NUDT12.13947.371.3	7,00E-05	0,000263723	0,000570285	0,22217302	0,294853032	-0,004546583	0,004221787	0,008770403	0,013873028	-0,008653097	0,008068987
BMP6.8459.10.3	7,07E-05	0,000266053	0,000641447	1,93E-24	3,01E-23	0,043023866	0,03284568	0,052348943	-0,012827972	0,010988458	-0,000667041
IMPAD1.9231.23.3	7,13E-05	0,000267912	-0,000559028	1,05E-12	8,41E-12	-0,026113431	0,002247336	0,005159699	-0,016249486	-0,006480494	0,005573522
PDIA5.5593.11.3	7,17E-05	0,00026913	0,00169551	0,000753154	0,001984663	-0,037385332	0,011696967	0,021263908	-0,036463521	-0,04799507	-0,001848132
HNRNPA2B1.5351.52.3	7,18E-05	0,000269321	0,001596038	3,03E-06	1,23E-05	0,048796183	0,751145126	0,78467839	-0,013126915	-0,003671163	-0,013275148
NTN4.3327.27.1	7,23E-05	0,000270424	-0,000440448	0,688284228	0,749636511	0,001156165	0,126457208	0,166287206	0,001817058	-0,012497035	-0,008568301
PMEPA1.6936.7.3	7,23E-05	0,000270424	-0,000647937	2,12E-15	2,10E-14	-0,033759722	0,093548295	0,128645398	-0,001508103	-0,021206042	-0,0138182
IQCF1.7991.54.3	7,42E-05	0,000277074	-0,000541482	0,491231734	0,571086177	-0,002442595	0,417581603	0,472140004	0,006200634	0,008810556	0,005456137
