Up/Down with age	ID	Description	# Significant in top100	# Annotated in SOMAscan 2.9k	Min fdr	fdr_n10	fdr_n11	fdr_n12	fdr_n13	fdr_n14	fdr_n15	fdr_n16	fdr_n17	fdr_n18	fdr_n19	fdr_n20	fdr_n21	fdr_n22	fdr_n23	fdr_n24	fdr_n25	fdr_n26	fdr_n27	fdr_n28	fdr_n29	fdr_n30	fdr_n31	fdr_n32	fdr_n33	fdr_n34	fdr_n35	fdr_n36	fdr_n37	fdr_n38	fdr_n39	fdr_n40	fdr_n41	fdr_n42	fdr_n43	fdr_n44	fdr_n45	fdr_n46	fdr_n47	fdr_n48	fdr_n49	fdr_n50	fdr_n51	fdr_n52	fdr_n53	fdr_n54	fdr_n55	fdr_n56	fdr_n57	fdr_n58	fdr_n59	fdr_n60	fdr_n61	fdr_n62	fdr_n63	fdr_n64	fdr_n65	fdr_n66	fdr_n67	fdr_n68	fdr_n69	fdr_n70	fdr_n71	fdr_n72	fdr_n73	fdr_n74	fdr_n75	fdr_n76	fdr_n77	fdr_n78	fdr_n79	fdr_n80	fdr_n81	fdr_n82	fdr_n83	fdr_n84	fdr_n85	fdr_n86	fdr_n87	fdr_n88	fdr_n89	fdr_n90	fdr_n91	fdr_n92	fdr_n93	fdr_n94	fdr_n95	fdr_n96	fdr_n97	fdr_n98	fdr_n99	fdr_n100
down	GO:0004714	transmembrane receptor protein tyrosine kinase activity	5	36	0,0657	0,377188889	0,396	0,44863	0,49662	0,49662	0,49662	0,210414286	0,2442	0,234461538	0,2613	0,2412	0,24403125	0,191545455	0,164571429	0,149833333	0,1661	0,17595	0,167466667	0,175555556	0,213777778	0,222	0,239733333	0,256266667	0,24871	0,28684	0,2525	0,2525	0,1199	0,1308	0,1533	0,0657	0,07718	0,086184	0,095304	0,10534	0,115416	0,12815	0,140266	0,152382	0,165896	0,17941	0,17941	0,197658	0,2133	0,23377	0,251401053	0,256262564	0,2634975	0,222384615	0,23709	0,252229091	0,249544348	0,254988696	0,254988696	0,259458261	0,265981739	0,2507688	0,2568984	0,257099231	0,252	0,242548966	0,229899091	0,210522	0,223333333	0,232607273	0,24158	0,24158	0,24158	0,27108	0,275662286	0,283745	0,30328375	0,315636364	0,315636364	0,332364286	0,332364286	0,330844828	0,323096774	0,323096774	0,292307222	0,255237143	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0005253	anion channel activity	2	4	0,0657	NA	NA	NA	NA	NA	NA	NA	NA	0,234461538	0,2613	0,2412	0,24403125	0,191545455	0,173866667	0,178296296	0,1812	0,203271429	0,211137931	0,222892857	0,271758621	0,291888889	0,3038	0,320145455	0,315228571	0,368352941	0,370894444	0,370894444	0,3052	0,314627027	0,333975	0,0657	0,073775	0,07581	0,0798	0,0841575	0,088165	0,094365	0,099025	0,103685	0,108345	0,113005	0,113005	0,1202775	0,12561	0,1331525	0,138575	0,14579	0,1519	0,15925	0,16884	0,17514	0,18432	0,191465	0,191465	0,1985325	0,2065525	0,215325	0,2242075	0,23408	0,243	0,242548966	0,229899091	0,181545	0,187916667	0,19881	0,20445	0,20445	0,20445	0,22848	0,23511	0,24332	0,249993333	0,258333333	0,258333333	0,26505	0,26505	0,233385714	0,254871429	0,254871429	0,274545714	0,255237143	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0005254	chloride channel activity	2	4	0,0657	NA	NA	NA	NA	NA	NA	NA	NA	0,234461538	0,2613	0,2412	0,24403125	0,191545455	0,173866667	0,178296296	0,1812	0,203271429	0,211137931	0,222892857	0,271758621	0,291888889	0,3038	0,320145455	0,315228571	0,368352941	0,370894444	0,370894444	0,3052	0,314627027	0,333975	0,0657	0,073775	0,07581	0,0798	0,0841575	0,088165	0,094365	0,099025	0,103685	0,108345	0,113005	0,113005	0,1202775	0,12561	0,1331525	0,138575	0,14579	0,1519	0,15925	0,16884	0,17514	0,18432	0,191465	0,191465	0,1985325	0,2065525	0,215325	0,2242075	0,23408	0,243	0,242548966	0,229899091	0,181545	0,187916667	0,19881	0,20445	0,20445	0,20445	0,22848	0,23511	0,24332	0,249993333	0,258333333	0,258333333	0,26505	0,26505	0,233385714	0,254871429	0,254871429	0,274545714	0,255237143	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
down	GO:0015108	chloride transmembrane transporter activity	2	4	0,0657	NA	NA	NA	NA	NA	NA	NA	NA	0,234461538	0,2613	0,2412	0,24403125	0,191545455	0,173866667	0,178296296	0,1812	0,203271429	0,211137931	0,222892857	0,271758621	0,291888889	0,3038	0,320145455	0,315228571	0,368352941	0,370894444	0,370894444	0,3052	0,314627027	0,333975	0,0657	0,073775	0,07581	0,0798	0,0841575	0,088165	0,094365	0,099025	0,103685	0,108345	0,113005	0,113005	0,1202775	0,12561	0,1331525	0,138575	0,14579	0,1519	0,15925	0,16884	0,17514	0,18432	0,191465	0,191465	0,1985325	0,2065525	0,215325	0,2242075	0,23408	0,243	0,242548966	0,229899091	0,181545	0,187916667	0,19881	0,20445	0,20445	0,20445	0,22848	0,23511	0,24332	0,249993333	0,258333333	0,258333333	0,26505	0,26505	0,233385714	0,254871429	0,254871429	0,274545714	0,255237143	0,152733333	0,152733333	0,159	0,159	0,1605	0,177666667	0,194327273	0,204654545	0,215090909	0,224972727
up	R-HSA-2980736	Peptide hormone metabolism	2	24	0,066696962	0,099384354	0,114330233	0,130404697	0,130404697	0,130404697	0,130404697	0,156027906	0,199444241	0,199444241	0,23326008	0,246087119	0,246087119	0,262584424	0,281405911	0,296493829	0,066696962	0,081341284	0,077612526	0,077612526	0,083903287	0,083903287	0,094762534	0,10506248	0,117284614	0,121021689	0,121021689	0,121021689	0,121021689	0,121723632	0,121723632	0,121723632	0,124263562	0,124263562	0,138447192	0,14870254	0,148788445	0,158446838	0,158446838	0,17425498	0,17425498	0,17425498	0,177742761	0,177742761	0,190689967	0,205966061	0,21614183	0,222711337	0,222711337	0,216876816	0,238036077	0,254391224	0,269080502	0,286618133	0,286618133	0,279288549	0,279288549	0,29161841	0,298437369	0,309804955	0,309804955	0,319493914	0,333094735	0,315798859	0,315798859	0,326356057	0,326356057	0,338184264	0,353223935	0,353223935	0,365367642	0,365367642	0,377609823	0,388179126	0,3956679	0,4154061	0,43587174	0,43587174	0,43587174	0,443334677	0,531639748	0,54016527	0,549248543	0,528627258	0,528627258	0,538217456	0,538217456	0,578179505	0,588046069	0,588046069	0,590812236	0,612438389
up	R-HSA-418555	G alpha (s) signalling events	2	24	0,066696962	0,099384354	0,114330233	0,130404697	0,130404697	0,130404697	0,130404697	0,156027906	0,199444241	0,199444241	0,23326008	0,246087119	0,246087119	0,262584424	0,281405911	0,296493829	0,066696962	0,081341284	0,077612526	0,077612526	0,083903287	0,083903287	0,094762534	0,10506248	0,117284614	0,121021689	0,121021689	0,121021689	0,121021689	0,121723632	0,121723632	0,121723632	0,124263562	0,124263562	0,138447192	0,14870254	0,148788445	0,158446838	0,158446838	0,17425498	0,17425498	0,17425498	0,177742761	0,177742761	0,190689967	0,205966061	0,21614183	0,222711337	0,222711337	0,216876816	0,238036077	0,254391224	0,269080502	0,286618133	0,286618133	0,279288549	0,279288549	0,29161841	0,298437369	0,309804955	0,309804955	0,319493914	0,333094735	0,315798859	0,315798859	0,326356057	0,326356057	0,338184264	0,353223935	0,353223935	0,365367642	0,365367642	0,377609823	0,388179126	0,3956679	0,4154061	0,43587174	0,43587174	0,43587174	0,443334677	0,531639748	0,54016527	0,549248543	0,528627258	0,528627258	0,538217456	0,538217456	0,578179505	0,588046069	0,588046069	0,590812236	0,612438389
up	GO:0008613	diuretic hormone activity	1	1	0,0675	0,070892	0,0675	0,076	0,0836	0,07968	0,112665	0,147781667	0,151	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,207664286	0,227254	0,232012857	0,24167	0,248751905	0,263800952	0,2369375	0,22059	0,195435455	0,203072727	0,203072727	0,192	0,1991	0,209666667	0,202606154	0,212824615	0,206282143	0,206282143	0,198744	0,205011333	0,175220556	0,179598333	0,185946111	0,198094444	0,209248235	0,209248235	0,217179412	0,222002941	0,234696471	0,23064	0,248943333	0,267325882	0,276270588	0,276270588	0,241908571	0,250716667	0,261937619	0,273307143	0,26904	0,2736	0,265974545	0,270556364	0,290527619	0,296528571	0,296528571	0,311046667	0,325619048	0,33306	0,3423015	0,32388	0,328292174	0,284763077	0,293196923	0,293196923	0,296804444	0,296804444	0,296804444	0,302094074	0,306345926	0,322866667	0,329111111	0,329111111	0,325931429	0,335706429	0,355000741	0,358691667	0,359226429	0,354538966	0,361417241	0,33402375	0,344780625	0,352546875	0,343393636	0,34743	0,353577273	0,360840606
up	GO:1904399	heparan sulfate binding	1	1	0,0675	0,070892	0,0675	0,076	0,0836	0,07968	0,112665	0,147781667	0,151	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,207664286	0,227254	0,232012857	0,24167	0,248751905	0,263800952	0,2369375	0,22059	0,195435455	0,203072727	0,203072727	0,192	0,1991	0,209666667	0,202606154	0,212824615	0,206282143	0,206282143	0,198744	0,205011333	0,175220556	0,179598333	0,185946111	0,198094444	0,209248235	0,209248235	0,217179412	0,222002941	0,234696471	0,23064	0,248943333	0,267325882	0,276270588	0,276270588	0,241908571	0,250716667	0,261937619	0,273307143	0,26904	0,2736	0,265974545	0,270556364	0,290527619	0,296528571	0,296528571	0,311046667	0,325619048	0,33306	0,3423015	0,32388	0,328292174	0,284763077	0,293196923	0,293196923	0,296804444	0,296804444	0,296804444	0,302094074	0,306345926	0,322866667	0,329111111	0,329111111	0,325931429	0,335706429	0,355000741	0,358691667	0,359226429	0,354538966	0,361417241	0,33402375	0,344780625	0,352546875	0,343393636	0,34743	0,353577273	0,360840606
down	GO:0030198	extracellular matrix organization	13	109	0,0678445	0,195086957	0,202176	0,220882051	0,241948718	0,275353846	0,315757143	0,23025	0,253111304	0,260727273	0,276193789	0,286196066	0,307267714	0,327386364	0,269084409	0,210431333	0,191999167	0,20020137	0,215062319	0,2147525	0,232319155	0,254946957	0,270052	0,287032381	0,288227077	0,310761905	0,260985	0,260985	0,292440357	0,304576867	0,305957647	0,31278427	0,288584948	0,305420851	0,313046596	0,312443265	0,323098454	0,336185474	0,286006316	0,302657368	0,322246842	0,360475789	0,360475789	0,39736337	0,392660211	0,401762842	0,409632632	0,395448932	0,410061881	0,273948571	0,23016	0,13356	0,15379625	0,17500125	0,17500125	0,178452222	0,199724	0,216036	0,24069	0,274574	0,291586429	0,300942143	0,311435	0,320825	0,344768571	0,23162	0,23788	0,23788	0,24414	0,268905	0,3035025	0,343625	0,373108108	0,3713545	0,3713545	0,38668	0,40235967	0,366303913	0,374288333	0,374288333	0,383834684	0,391954128	0,388315385	0,1914	0,0678445	0,0678445	0,076532	0,0867	0,099246	0,112574	0,125775	0,1420565
down	GO:0043062	extracellular structure organization	13	109	0,0678445	0,195086957	0,202176	0,220882051	0,241948718	0,275353846	0,315757143	0,23025	0,253111304	0,260727273	0,276193789	0,286196066	0,307267714	0,327386364	0,269084409	0,210431333	0,191999167	0,20020137	0,215062319	0,2147525	0,232319155	0,254946957	0,270052	0,287032381	0,288227077	0,310761905	0,260985	0,260985	0,292440357	0,304576867	0,305957647	0,31278427	0,288584948	0,305420851	0,313046596	0,312443265	0,323098454	0,336185474	0,286006316	0,302657368	0,322246842	0,360475789	0,360475789	0,39736337	0,392660211	0,401762842	0,409632632	0,395448932	0,410061881	0,273948571	0,23016	0,13356	0,15379625	0,17500125	0,17500125	0,178452222	0,199724	0,216036	0,24069	0,274574	0,291586429	0,300942143	0,311435	0,320825	0,344768571	0,23162	0,23788	0,23788	0,24414	0,268905	0,3035025	0,343625	0,373108108	0,3713545	0,3713545	0,38668	0,40235967	0,366303913	0,374288333	0,374288333	0,383834684	0,391954128	0,388315385	0,1914	0,0678445	0,0678445	0,076532	0,0867	0,099246	0,112574	0,125775	0,1420565
up	R-HSA-1462054	Alpha-defensins	1	2	0,069663087	1	1	1	1	1	1	1	1	1	1	0,092737102	0,092737102	0,118829857	0,136414062	0,145646358	0,069663087	0,081341284	0,077612526	0,077612526	0,083903287	0,083903287	0,094361145	0,102994826	0,110966166	0,11919106	0,11919106	0,11919106	0,11919106	0,117897075	0,117897075	0,117897075	0,113420105	0,113420105	0,120196648	0,125170091	0,124225266	0,137027795	0,137027795	0,146241761	0,146241761	0,146241761	0,15616701	0,15616701	0,168545297	0,182436055	0,192387334	0,19834425	0,19834425	0,194569354	0,210549091	0,220393134	0,232329727	0,233967879	0,233967879	0,221044878	0,221044878	0,225756786	0,2429087	0,256920893	0,256920893	0,263287206	0,269260418	0,266912736	0,266912736	0,26681119	0,26681119	0,264169466	0,278063226	0,278063226	0,290617762	0,290617762	0,282598436	0,285271523	0,290703176	0,321558187	0,357728765	0,357728765	0,357728765	0,369214103	0,443291635	0,457069007	0,472940867	0,45315626	0,45315626	0,455119672	0,455119672	0,469215733	0,484863733	0,484863733	0,509089238	0,529150832
down	GO:0044459	plasma membrane part	31	562	0,070244444	0,486964286	0,546163636	0,603615385	0,653125	0,737993846	0,6902	0,584493333	0,450482353	0,547328571	0,605969231	0,571278689	0,603870448	0,65332	0,537290444	0,562668627	0,602425714	0,502569756	0,61853122	0,656556456	0,658640328	0,671977209	0,621115556	0,692942857	0,473525581	0,377070526	0,391397368	0,303827586	0,207386429	0,24875	0,26666	0,268231111	0,30012	0,338817021	0,374986	0,403402727	0,425288136	0,47216129	0,495500769	0,425188235	0,457647273	0,508033443	0,508033443	0,433907292	0,465166852	0,386246667	0,393269333	0,390051042	0,419198529	0,417822609	0,414685714	0,436327692	0,448872	0,439888421	0,305802222	0,335793333	0,4026	0,345847059	0,351635294	0,367552941	0,445247059	0,521447059	0,346263158	0,354389474	0,365210526	0,289734	0,32508	0,32508	0,35604	0,3013	0,3213125	0,219857143	0,23625	0,182666667	0,182666667	0,1939	0,129733333	0,139397143	0,09306	0,11421	0,134957143	0,0799	0,09776	0,119803333	0,109725	0,109725	0,10602	0,070244444	0,085066667	0,102788889	0,123411111	0,13804
up	GO:0004864	protein phosphatase inhibitor activity	1	2	0,070892	0,070892	0,073636364	0,082909091	0,0912	0,099254167	0,112665	0,147781667	0,158994118	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,21615	0,227254	0,241332	0,251303	0,248751905	0,263800952	0,2369375	0,232258235	0,213726	0,211457143	0,211457143	0,224571429	0,238015	0,24975	0,23782	0,238914783	0,234468	0,234468	0,236768	0,234808846	0,195645625	0,2004475	0,205310938	0,216954194	0,227543226	0,227543226	0,236146774	0,241370968	0,24698	0,249185455	0,267240909	0,272675152	0,281715152	0,281715152	0,257826667	0,265039744	0,27807	0,278113846	0,279342	0,28413	0,28260878	0,294147	0,3014345	0,30759375	0,30759375	0,31746925	0,332066667	0,346666667	0,35136	0,34419	0,359924	0,337156364	0,349749767	0,349749767	0,359255	0,359255	0,359255	0,357474444	0,362449111	0,363130435	0,364875	0,364875	0,3596928	0,3561225	0,356241698	0,358691667	0,366642222	0,367924364	0,363069123	0,354697627	0,356212	0,360463	0,353667143	0,36889	0,369904839	0,377415161
up	GO:0035373	chondroitin sulfate proteoglycan binding	1	2	0,070892	0,070892	0,073636364	0,082909091	0,0912	0,099254167	0,112665	0,147781667	0,158994118	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,21615	0,227254	0,241332	0,251303	0,248751905	0,263800952	0,2369375	0,232258235	0,213726	0,211457143	0,211457143	0,224571429	0,238015	0,24975	0,23782	0,238914783	0,234468	0,234468	0,236768	0,234808846	0,195645625	0,2004475	0,205310938	0,216954194	0,227543226	0,227543226	0,236146774	0,241370968	0,24698	0,249185455	0,267240909	0,272675152	0,281715152	0,281715152	0,257826667	0,265039744	0,27807	0,278113846	0,279342	0,28413	0,28260878	0,294147	0,3014345	0,30759375	0,30759375	0,31746925	0,332066667	0,346666667	0,35136	0,34419	0,359924	0,337156364	0,349749767	0,349749767	0,359255	0,359255	0,359255	0,357474444	0,362449111	0,363130435	0,364875	0,364875	0,3596928	0,3561225	0,356241698	0,358691667	0,366642222	0,367924364	0,363069123	0,354697627	0,356212	0,360463	0,353667143	0,36889	0,369904839	0,377415161
up	GO:0004522	ribonuclease A activity	1	3	0,070892	0,070892	0,073636364	0,082909091	0,0912	0,099254167	0,112665	0,147781667	0,158994118	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,21615	0,227254	0,241332	0,251303	0,248751905	0,263800952	0,245834783	0,2355696	0,227649643	0,228289655	0,228289655	0,235862069	0,244037931	0,257086207	0,259816	0,25578	0,254876471	0,254876471	0,240615789	0,245611081	0,227222683	0,232796341	0,238418049	0,243991707	0,255899512	0,255899512	0,2655	0,27803125	0,286510244	0,290931429	0,304707907	0,310831628	0,313793182	0,313793182	0,2985584	0,305417	0,3135912	0,298016111	0,301392	0,306523636	0,311930182	0,323026667	0,33099963	0,319913158	0,319913158	0,330156842	0,337224561	0,346666667	0,35136	0,347614426	0,367481379	0,366462373	0,377184407	0,377184407	0,371209841	0,371209841	0,371209841	0,371754688	0,378212188	0,379504545	0,386	0,386	0,379696	0,369797838	0,371914533	0,371536364	0,370973165	0,373443375	0,369868049	0,363337412	0,368407326	0,376011977	0,377524719	0,385082697	0,384222159	0,391926364
up	GO:0016892	endoribonuclease activity, producing 3'-phosphomonoesters	1	3	0,070892	0,070892	0,073636364	0,082909091	0,0912	0,099254167	0,112665	0,147781667	0,158994118	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,21615	0,227254	0,241332	0,251303	0,248751905	0,263800952	0,245834783	0,2355696	0,227649643	0,228289655	0,228289655	0,235862069	0,244037931	0,257086207	0,259816	0,25578	0,254876471	0,254876471	0,240615789	0,245611081	0,227222683	0,232796341	0,238418049	0,243991707	0,255899512	0,255899512	0,2655	0,27803125	0,286510244	0,290931429	0,304707907	0,310831628	0,313793182	0,313793182	0,2985584	0,305417	0,3135912	0,298016111	0,301392	0,306523636	0,311930182	0,323026667	0,33099963	0,319913158	0,319913158	0,330156842	0,337224561	0,346666667	0,35136	0,347614426	0,367481379	0,366462373	0,377184407	0,377184407	0,371209841	0,371209841	0,371209841	0,371754688	0,378212188	0,379504545	0,386	0,386	0,379696	0,369797838	0,371914533	0,371536364	0,370973165	0,373443375	0,369868049	0,363337412	0,368407326	0,376011977	0,377524719	0,385082697	0,384222159	0,391926364
up	GO:0019212	phosphatase inhibitor activity	1	3	0,070892	0,070892	0,073636364	0,082909091	0,0912	0,099254167	0,112665	0,147781667	0,158994118	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,21615	0,227254	0,241332	0,251303	0,248751905	0,263800952	0,245834783	0,2355696	0,227649643	0,228289655	0,228289655	0,235862069	0,244037931	0,257086207	0,259816	0,25578	0,254876471	0,254876471	0,240615789	0,245611081	0,227222683	0,232796341	0,238418049	0,243991707	0,255899512	0,255899512	0,2655	0,27803125	0,286510244	0,290931429	0,304707907	0,310831628	0,313793182	0,313793182	0,2985584	0,305417	0,3135912	0,298016111	0,301392	0,306523636	0,311930182	0,323026667	0,33099963	0,319913158	0,319913158	0,330156842	0,337224561	0,346666667	0,35136	0,347614426	0,367481379	0,366462373	0,377184407	0,377184407	0,371209841	0,371209841	0,371209841	0,371754688	0,378212188	0,379504545	0,386	0,386	0,379696	0,369797838	0,371914533	0,371536364	0,370973165	0,373443375	0,369868049	0,363337412	0,368407326	0,376011977	0,377524719	0,385082697	0,384222159	0,391926364
up	GO:0038085	vascular endothelial growth factor binding	1	3	0,070892	0,070892	0,073636364	0,082909091	0,0912	0,099254167	0,112665	0,147781667	0,158994118	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,21615	0,227254	0,241332	0,251303	0,248751905	0,263800952	0,245834783	0,2355696	0,227649643	0,228289655	0,228289655	0,235862069	0,244037931	0,257086207	0,259816	0,25578	0,254876471	0,254876471	0,240615789	0,245611081	0,227222683	0,232796341	0,238418049	0,243991707	0,255899512	0,255899512	0,2655	0,27803125	0,286510244	0,290931429	0,304707907	0,310831628	0,313793182	0,313793182	0,2985584	0,305417	0,3135912	0,298016111	0,301392	0,306523636	0,311930182	0,323026667	0,33099963	0,319913158	0,319913158	0,330156842	0,337224561	0,346666667	0,35136	0,347614426	0,367481379	0,366462373	0,377184407	0,377184407	0,371209841	0,371209841	0,371209841	0,371754688	0,378212188	0,379504545	0,386	0,386	0,379696	0,369797838	0,371914533	0,371536364	0,370973165	0,373443375	0,369868049	0,363337412	0,368407326	0,376011977	0,377524719	0,385082697	0,384222159	0,391926364
up	GO:0070273	phosphatidylinositol-4-phosphate binding	1	3	0,070892	0,070892	0,073636364	0,082909091	0,0912	0,099254167	0,112665	0,147781667	0,158994118	0,169652941	0,169878947	0,17967	0,17967	0,190736842	0,19668	0,20625	0,21615	0,227254	0,241332	0,251303	0,248751905	0,263800952	0,245834783	0,2355696	0,227649643	0,228289655	0,228289655	0,235862069	0,244037931	0,257086207	0,259816	0,25578	0,254876471	0,254876471	0,240615789	0,245611081	0,227222683	0,232796341	0,238418049	0,243991707	0,255899512	0,255899512	0,2655	0,27803125	0,286510244	0,290931429	0,304707907	0,310831628	0,313793182	0,313793182	0,2985584	0,305417	0,3135912	0,298016111	0,301392	0,306523636	0,311930182	0,323026667	0,33099963	0,319913158	0,319913158	0,330156842	0,337224561	0,346666667	0,35136	0,347614426	0,367481379	0,366462373	0,377184407	0,377184407	0,371209841	0,371209841	0,371209841	0,371754688	0,378212188	0,379504545	0,386	0,386	0,379696	0,369797838	0,371914533	0,371536364	0,370973165	0,373443375	0,369868049	0,363337412	0,368407326	0,376011977	0,377524719	0,385082697	0,384222159	0,391926364
up	R-HSA-201451	Signaling by BMP	2	4	0,072369345	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0,12015074	0,128415206	0,138277641	0,143645027	0,143645027	0,143645027	0,143645027	0,149835391	0,149835391	0,149835391	0,149401869	0,149401869	0,16079315	0,167354001	0,168469355	0,174803876	0,174803876	0,186455049	0,186455049	0,186455049	0,191011331	0,191011331	0,199279212	0,209561244	0,21614183	0,222711337	0,222711337	0,216876816	0,238036077	0,254391224	0,269080502	0,279808565	0,279808565	0,2703166	0,2703166	0,276521725	0,280681266	0,29145202	0,29145202	0,30666197	0,313533061	0,29923183	0,29923183	0,30562737	0,30562737	0,305511807	0,316373355	0,316373355	0,333585633	0,333585633	0,072369345	0,076263816	0,079255074	0,090370299	0,094948074	0,094948074	0,094948074	0,098457288	0,118639628	0,135404455	0,14760594	0,162697363	0,162697363	0,177441753	0,177441753	0,197317119	0,204566294	0,204566294	0,211966143	0,221273756
up	GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	1	4	0,072633846	0,072633846	0,0825	0,093538462	0,102307692	0,113176429	0,128449286	0,168388571	0,189147368	0,201783684	0,204428571	0,206194091	0,206194091	0,218909091	0,2176625	0,22825	0,23918125	0,2521125	0,286344783	0,289945217	0,28877875	0,299693333	0,288411538	0,278852143	0,272599677	0,276525	0,276525	0,292064516	0,302445161	0,299363636	0,312820606	0,309668571	0,297528947	0,297528947	0,277713333	0,279648372	0,267458936	0,274472391	0,280981957	0,287534348	0,299389787	0,299389787	0,31271413	0,319488043	0,33022383	0,342045	0,360504375	0,367645417	0,371942857	0,371942857	0,354845714	0,36824375	0,386555	0,379058036	0,383526316	0,389936842	0,389904828	0,396378621	0,406049655	0,393828689	0,393828689	0,406332787	0,416340984	0,42757	0,428510656	0,41922375	0,4382175	0,437627077	0,450347077	0,450347077	0,433149014	0,433149014	0,433149014	0,440605634	0,448568873	0,438644595	0,436153846	0,436153846	0,431079506	0,427891429	0,421029655	0,426825	0,431229438	0,430880769	0,427948387	0,42204375	0,426448454	0,431336598	0,428317129	0,4356639	0,43444902	0,444768235
up	GO:0035374	chondroitin sulfate binding	1	4	0,072633846	0,072633846	0,0825	0,093538462	0,102307692	0,113176429	0,128449286	0,168388571	0,189147368	0,201783684	0,204428571	0,206194091	0,206194091	0,218909091	0,2176625	0,22825	0,23918125	0,2521125	0,286344783	0,289945217	0,28877875	0,299693333	0,288411538	0,278852143	0,272599677	0,276525	0,276525	0,292064516	0,302445161	0,299363636	0,312820606	0,309668571	0,297528947	0,297528947	0,277713333	0,279648372	0,267458936	0,274472391	0,280981957	0,287534348	0,299389787	0,299389787	0,31271413	0,319488043	0,33022383	0,342045	0,360504375	0,367645417	0,371942857	0,371942857	0,354845714	0,36824375	0,386555	0,379058036	0,383526316	0,389936842	0,389904828	0,396378621	0,406049655	0,393828689	0,393828689	0,406332787	0,416340984	0,42757	0,428510656	0,41922375	0,4382175	0,437627077	0,450347077	0,450347077	0,433149014	0,433149014	0,433149014	0,440605634	0,448568873	0,438644595	0,436153846	0,436153846	0,431079506	0,427891429	0,421029655	0,426825	0,431229438	0,430880769	0,427948387	0,42204375	0,426448454	0,431336598	0,428317129	0,4356639	0,43444902	0,444768235
down	R-HSA-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface	2	2	0,073984837	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0,235533797	0,243764447	0,243764447	0,253253332	0,253253332	0,261645003	0,261645003	0,270221673	0,270221673	0,276470825	0,276470825	0,276470825	0,288530488	0,339165469	0,339165469	0,350431901	0,354817528	0,368896636	0,398533442	0,398533442	0,407906871	0,390958703	0,390958703	0,390958703	0,390958703	0,387752574	0,395892013	0,389156411	0,398346941	0,413132035	0,413132035	0,413174384	0,413174384	0,413174384	0,433344335	0,433344335	0,433344335	0,433344335	0,433344335	0,441397106	0,419482282	0,419482282	0,073984837	0,077403124	0,081926683	0,084801303	0,084801303	0,087994583
up	R-HSA-2129379	Molecules associated with elastic fibres	3	16	0,075673564	1	1	1	1	1	1	1	0,15913457	0,15913457	0,186519926	0,191218032	0,191218032	0,215296565	0,229884379	0,240086098	0,231087843	0,246663646	0,25903417	0,25903417	0,258949229	0,258949229	0,270348261	0,278160873	0,280642047	0,288754064	0,288754064	0,288754064	0,288754064	0,301278804	0,301278804	0,301278804	0,32711897	0,32711897	0,355063314	0,368268147	0,374975342	0,376544741	0,376544741	0,393572303	0,393572303	0,393572303	0,400158125	0,400158125	0,411611998	0,43622546	0,448492903	0,453227132	0,453227132	0,19099073	0,210549091	0,220393134	0,232329727	0,233967879	0,233967879	0,221044878	0,221044878	0,225756786	0,2429087	0,256920893	0,256920893	0,263287206	0,269260418	0,266912736	0,266912736	0,090653608	0,090653608	0,075673564	0,082467283	0,082467283	0,089939836	0,089939836	0,092445108	0,097347745	0,104481278	0,121644191	0,13436464	0,13436464	0,13436464	0,139227368	0,162815066	0,17072075	0,17655444	0,189518568	0,189518568	0,201597808	0,201597808	0,222227688	0,2302211	0,2302211	0,23837195	0,250365607
